医院,姓名,科室,评分,擅长,简介
上海中医药大学附属龙华医院,唐德志,中医骨科,3.4,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属龙华医院,王拥军,中医骨科,3.8,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属龙华医院,邬学群,中医骨科,3.3,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属龙华医院,叶洁,中医骨科,3.3,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属龙华医院,张霆,中医骨科,3.5,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属龙华医院,赵光复,中医骨科,3.6,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属龙华医院,周重建,中医骨科,3.6,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属龙华医院,薛鸿浩,中医呼吸科,3.4,中医呼吸科常见病、多发病诊治,主任医师，中医呼吸科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,包来发,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,陈德兴,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,陈菲,中医科,3.5,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,陈伟,中医科,3.6,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,方肇勤,中医科,3.3,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,顾耘,中医科,3.6,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,何立人,中医科,3.5,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,李海峰,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,李兆健,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,林水淼,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,刘国萍,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,刘萍,中医科,3.6,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,陆雄,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,马杰,中医科,3.3,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,倪伟,中医科,3.5,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,沈施德,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,唐靖一,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,王庆其,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,王佑华,中医科,3.5,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,吴鸿洲,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,徐建国,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,徐竹林,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,袁颖,中医科,3.6,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,章怡祎,中医科,3.5,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,周珮青,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,周圆,中医科,3.5,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,朱良争,中医科,3.4,中医内科疾病、中医养生保健,主任医师，中医科专科，运用中医中药治疗各种疾病。
上海中医药大学附属龙华医院,蒋学洲,中医男科,3.2,中医男科常见病、多发病诊治,主任医师，中医男科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,李红,中医内分泌,3.6,中医内分泌常见病、多发病诊治,主任医师，中医内分泌专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,徐蓉娟,中医内分泌,3.5,中医内分泌常见病、多发病诊治,主任医师，中医内分泌专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,马绍尧,中医皮肤科,3.3,中医皮肤科常见病、多发病诊治,主任医师，中医皮肤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,陈红风,中医乳腺外科,4.0,乳腺癌的早期诊断与综合治疗、乳腺良性疾病,主任医师，乳腺外科专科，在乳腺疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,程亦勤,中医乳腺外科,3.6,乳腺癌的早期诊断与综合治疗、乳腺良性疾病,主任医师，乳腺外科专科，在乳腺疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,胡升芳,中医乳腺外科,3.8,乳腺癌的早期诊断与综合治疗、乳腺良性疾病,主任医师，乳腺外科专科，在乳腺疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,吴晶晶,中医乳腺外科,3.7,乳腺癌的早期诊断与综合治疗、乳腺良性疾病,主任医师，乳腺外科专科，在乳腺疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,叶媚娜,中医乳腺外科,3.8,乳腺癌的早期诊断与综合治疗、乳腺良性疾病,主任医师，乳腺外科专科，在乳腺疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,顾超,中医神经内科,3.7,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,袁灿兴,中医神经内科,3.3,脑血管病、帕金森病、癫痫、痴呆、头痛头晕,主任医师，神经内科专科，在神经系统疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,邓跃毅,中医肾病内科,3.4,中医肾病内科常见病、多发病诊治,主任医师，中医肾病内科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,金亚明,中医肾病内科,3.4,中医肾病内科常见病、多发病诊治,主任医师，中医肾病内科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,王琳,中医肾病内科,5.0,中医肾病内科常见病、多发病诊治,主任医师，中医肾病内科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,陈磊,中医外科,3.4,中医外科常见病、多发病诊治,主任医师，中医外科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,樊民胜,中医外科,3.4,中医外科常见病、多发病诊治,主任医师，中医外科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,梁晓强,中医外科,3.5,中医外科常见病、多发病诊治,主任医师，中医外科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,刘胜,中医外科,3.4,中医外科常见病、多发病诊治,主任医师，中医外科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,阙华发,中医外科,3.3,中医外科常见病、多发病诊治,主任医师，中医外科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,唐汉钧,中医外科,3.3,中医外科常见病、多发病诊治,主任医师，中医外科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,应荐,中医外科,3.5,中医外科常见病、多发病诊治,主任医师，中医外科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,郁超,中医外科,3.4,中医外科常见病、多发病诊治,主任医师，中医外科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,张静喆,中医外科,3.7,中医外科常见病、多发病诊治,主任医师，中医外科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,周智恒,中医外科,3.4,中医外科常见病、多发病诊治,主任医师，中医外科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,朱培庭,中医外科,3.4,中医外科常见病、多发病诊治,主任医师，中医外科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,黄文龙,中医五官科,3.2,中医五官科常见病、多发病诊治,主任医师，中医五官科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,季光,中医消化科,3.5,中医消化科常见病、多发病诊治,主任医师，中医消化科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,林江,中医消化科,3.4,中医消化科常见病、多发病诊治,主任医师，中医消化科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,唐志鹏,中医消化科,3.5,中医消化科常见病、多发病诊治,主任医师，中医消化科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,邢练军,中医消化科,3.5,中医消化科常见病、多发病诊治,主任医师，中医消化科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,许家佗,中医消化科,3.4,中医消化科常见病、多发病诊治,主任医师，中医消化科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,袁建业,中医消化科,3.7,中医消化科常见病、多发病诊治,主任医师，中医消化科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,朱凌宇,中医消化科,3.6,中医消化科常见病、多发病诊治,主任医师，中医消化科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,邓兵,中医心内科,3.4,冠心病、高血压、心律失常、心力衰竭,主任医师，心内科专科，在心血管疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,顾仁樾,中医心内科,3.5,冠心病、高血压、心律失常、心力衰竭,主任医师，心内科专科，在心血管疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,林钟香,中医心内科,3.5,冠心病、高血压、心律失常、心力衰竭,主任医师，心内科专科，在心血管疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,周端,中医心内科,3.4,冠心病、高血压、心律失常、心力衰竭,主任医师，心内科专科，在心血管疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,沈伟,中医血液科,3.3,白血病、淋巴瘤、贫血,主任医师，血液科专科，在血液系统疾病诊治方面有丰富经验。
上海中医药大学附属龙华医院,刘新泉,中医眼科,3.2,白内障、青光眼、视网膜疾病、角膜疾病,主任医师，眼科专科，从事眼科临床诊疗工作多年。
上海中医药大学附属龙华医院,邓海滨,中医肿瘤科,3.3,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,范忠泽,中医肿瘤科,3.5,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,顾贤,中医肿瘤科,3.3,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,胡兵,中医肿瘤科,5.0,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,刘嘉湘,中医肿瘤科,3.5,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,刘苓霜,中医肿瘤科,3.5,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,马超,中医肿瘤科,3.3,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,邱佳信,中医肿瘤科,3.7,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,沈克平,中医肿瘤科,3.3,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,孙建立,中医肿瘤科,3.5,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,王菊勇,中医肿瘤科,3.6,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,武清,中医肿瘤科,3.5,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,徐振晔,中医肿瘤科,3.6,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,杨金坤,中医肿瘤科,3.4,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,杨金祖,中医肿瘤科,3.5,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,姚逸临,中医肿瘤科,3.3,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,赵爱光,中医肿瘤科,3.6,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,赵晓珍,中医肿瘤科,3.5,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,郑展,中医肿瘤科,3.3,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,周之毅,中医肿瘤科,3.5,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属龙华医院,祝利民,中医肿瘤科,3.7,中医肿瘤科常见病、多发病诊治,主任医师，中医肿瘤科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,鲍春龄,针灸科,3.5,针灸治疗神经系统疾病、针灸止痛,主任医师，针灸科专科，在针灸治疗方面有丰富经验。
上海中医药大学附属岳阳医院,东贵荣,针灸科,3.6,针灸治疗神经系统疾病、针灸止痛,主任医师，针灸科专科，在针灸治疗方面有丰富经验。
上海中医药大学附属岳阳医院,刘立公,针灸科,3.5,针灸治疗神经系统疾病、针灸止痛,主任医师，针灸科专科，在针灸治疗方面有丰富经验。
上海中医药大学附属岳阳医院,蒲蕴星,针灸科,3.3,针灸治疗神经系统疾病、针灸止痛,主任医师，针灸科专科，在针灸治疗方面有丰富经验。
上海中医药大学附属岳阳医院,牛惠志,中西医结合科,3.7,中西医结合科常见病、多发病诊治,主任医师，中西医结合科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,王文健,中西医结合科,3.9,中西医结合科常见病、多发病诊治,主任医师，中西医结合科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,冯燕华,中医按摩科,3.4,中医按摩科常见病、多发病诊治,主任医师，中医按摩科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,龚利,中医按摩科,3.4,中医按摩科常见病、多发病诊治,主任医师，中医按摩科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,姜淑云,中医按摩科,3.7,中医按摩科常见病、多发病诊治,主任医师，中医按摩科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,金义成,中医按摩科,3.3,中医按摩科常见病、多发病诊治,主任医师，中医按摩科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,李建华,中医按摩科,3.4,中医按摩科常见病、多发病诊治,主任医师，中医按摩科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,是有康,中医按摩科,3.4,中医按摩科常见病、多发病诊治,主任医师，中医按摩科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,孙武权,中医按摩科,3.6,中医按摩科常见病、多发病诊治,主任医师，中医按摩科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,张琴明,中医按摩科,3.5,中医按摩科常见病、多发病诊治,主任医师，中医按摩科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,张喜林,中医按摩科,3.4,中医按摩科常见病、多发病诊治,主任医师，中医按摩科专科，从事临床工作多年，具有丰富的临床经验。
上海中医药大学附属岳阳医院,姚敏,中医儿科,3.4,儿童呼吸系统疾病、儿童消化系统疾病、儿童体质调理,主任医师，中医儿科专科，擅长运用中医中药治疗儿科疾病。
上海中医药大学附属岳阳医院,董莉,中医妇产科,3.5,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。
上海中医药大学附属岳阳医院,归绥琪,中医妇产科,3.8,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。
上海中医药大学附属岳阳医院,季培英,中医妇产科,3.6,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。
上海中医药大学附属岳阳医院,高涛,中医肝病科,3.7,病毒性肝炎、肝硬化、脂肪肝、肝癌,主任医师，肝病专科，从事肝病临床诊治工作多年。
上海中医药大学附属岳阳医院,祝峻峰,中医肝病科,3.7,病毒性肝炎、肝硬化、脂肪肝、肝癌,主任医师，肝病专科，从事肝病临床诊治工作多年。
上海中医药大学附属岳阳医院,高凌卉,中医肛肠科,3.4,痔疮、肛裂、肛瘘,主任医师，肛肠科专科，在肛肠疾病诊治方面有丰富经验。
上海中医药大学附属岳阳医院,金炜,中医肛肠科,3.6,痔疮、肛裂、肛瘘,主任医师，肛肠科专科，在肛肠疾病诊治方面有丰富经验。
上海中医药大学附属岳阳医院,李盈,中医肛肠科,3.6,痔疮、肛裂、肛瘘,主任医师，肛肠科专科，在肛肠疾病诊治方面有丰富经验。
上海中医药大学附属岳阳医院,王振宜,中医肛肠科,3.7,痔疮、肛裂、肛瘘,主任医师，肛肠科专科，在肛肠疾病诊治方面有丰富经验。
上海中医药大学附属岳阳医院,吴炯,中医肛肠科,3.8,痔疮、肛裂、肛瘘,主任医师，肛肠科专科，在肛肠疾病诊治方面有丰富经验。
上海中医药大学附属岳阳医院,陈一鸣,中医骨科,3.5,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属岳阳医院,褚立希,中医骨科,3.7,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属岳阳医院,葛京化,中医骨科,3.4,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属岳阳医院,顾非,中医骨科,3.4,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属岳阳医院,江伟达,中医骨科,3.3,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属岳阳医院,李勃,中医骨科,3.6,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属岳阳医院,施杞,中医骨科,3.5,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属岳阳医院,汤伟忠,中医骨科,3.5,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属岳阳医院,杨春雷,中医骨科,3.6,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属岳阳医院,赵庆,中医骨科,3.5,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
上海中医药大学附属岳阳医院,郑军,中医骨科,3.5,骨关节疾病、脊柱外科、创伤骨科、人工关节置换,主任医师，骨科专科，从事骨科临床工作多年。
