医院,姓名,科室,评分,擅长,简介,医疗服务
复旦大学附属儿科医院,董瑞,小儿外科,3.8,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。,routine health screening
复旦大学附属儿科医院,李凯,小儿外科,4.7,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。,routine health screening
复旦大学附属儿科医院,沈淳,小儿外科,3.9,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。,routine health screening
复旦大学附属儿科医院,孙松,小儿外科,3.9,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。,routine health screening
复旦大学附属儿科医院,肖现民,小儿外科,3.8,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。,routine health screening
复旦大学附属儿科医院,郑珊,小儿外科,4.1,小儿普外科疾病、小儿先天畸形、小儿肿瘤,主任医师，小儿外科专科，从事小儿外科临床工作多年。,routine health screening
复旦大学附属儿科医院,王玉环,小儿消化科,3.9,儿童消化系统疾病、儿童胃炎、儿童消化性溃疡,主任医师，小儿消化专科，擅长儿童消化系统疾病诊治。,routine health screening
复旦大学附属儿科医院,储晨,小儿心内科,3.8,儿童先天性心脏病、儿童心肌炎、儿童心肌病,主任医师，小儿心内科专科，在儿童心血管疾病诊治方面有丰富经验。,routine health screening
复旦大学附属儿科医院,桂永浩,小儿心内科,3.7,儿童先天性心脏病、儿童心肌炎、儿童心肌病,主任医师，小儿心内科专科，在儿童心血管疾病诊治方面有丰富经验。,routine health screening
复旦大学附属儿科医院,马晓静,小儿心内科,3.7,儿童先天性心脏病、儿童心肌炎、儿童心肌病,主任医师，小儿心内科专科，在儿童心血管疾病诊治方面有丰富经验。,routine health screening
复旦大学附属儿科医院,王凤,小儿心内科,4.1,儿童先天性心脏病、儿童心肌炎、儿童心肌病,主任医师，小儿心内科专科，在儿童心血管疾病诊治方面有丰富经验。,routine health screening
复旦大学附属儿科医院,陈纲,小儿心外科,4.0,先天性心脏病、冠心病搭桥、心脏瓣膜置换,主任医师，心血管外科专科，在心脏血管外科手术方面有丰富经验。,robotic surgery
复旦大学附属儿科医院,叶明,小儿心外科,4.0,先天性心脏病、冠心病搭桥、心脏瓣膜置换,主任医师，心血管外科专科，在心脏血管外科手术方面有丰富经验。,robotic surgery
复旦大学附属儿科医院,翟晓文,小儿血液科,3.7,儿童白血病、儿童淋巴瘤、儿童贫血,主任医师，小儿血液专科，在儿童血液系统疾病诊治方面有丰富经验。,cancer treatment; CAR-T cell therapy
复旦大学附属儿科医院,杨晨皓,小儿眼科,3.6,白内障、青光眼、视网膜疾病、角膜疾病,主任医师，眼科专科，从事眼科临床诊疗工作多年。,ophthalmology
复旦大学附属儿科医院,董晨彬,小儿整形科,5.0,先天性畸形整形、唇腭裂修复、体表肿瘤,主任医师，小儿整形外科专科，从事小儿整形外科工作多年。,hair transplant; cosmetic or plastic surgery
复旦大学附属儿科医院,程国强,新生儿科,4.2,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。,routine health screening
复旦大学附属儿科医院,李志华,新生儿科,4.1,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。,routine health screening
复旦大学附属儿科医院,王瑾,新生儿科,4.2,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。,routine health screening
复旦大学附属儿科医院,周建国,新生儿科,3.7,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。,routine health screening
复旦大学附属儿科医院,乔中伟,医学影像科,3.4,CT诊断、MRI诊断、X线诊断,主任医师，医学影像专科，在医学影像诊断方面有丰富经验。,radiology/ CT scans
复旦大学附属儿科医院,俞建,中医儿科,3.7,儿童呼吸系统疾病、儿童消化系统疾病、儿童体质调理,主任医师，中医儿科专科，擅长运用中医中药治疗儿科疾病。,Chinese medicine treatment
复旦大学附属儿科医院,姚伟,肿瘤外科,4.2,恶性肿瘤外科手术治疗、肿瘤微创手术,主任医师，肿瘤外科专科，在肿瘤外科手术治疗方面有丰富经验。,cancer treatment
复旦大学附属儿科医院,陈伟明,重症监护室,3.5,危重症抢救治疗、多器官功能衰竭、脓毒症,主任医师，重症医学专科，在危重症救治方面有丰富经验。,routine health screening
复旦大学附属妇产科医院,陶祥,病理科,3.6,临床病理诊断、术中冰冻诊断、疑难病例会诊,主任医师，病理科专科，在临床病理诊断方面有丰富经验。,routine health screening
复旦大学附属妇产科医院,李喜莲,产科,4.5,高危妊娠、产前诊断与咨询、分娩期并发症处理、围产期保健,主任医师，产科专科，对高危妊娠的管理有丰富经验。,obstetrics
复旦大学附属妇产科医院,任芸芸,超声科,3.4,腹部超声、心血管超声、妇产科超声,主任医师，超声科专科，在超声诊断方面有丰富经验。,radiology/ CT scans
复旦大学附属妇产科医院,陈丽梅,妇产科,3.8,高危妊娠、产前诊断与咨询、分娩期并发症处理、围产期保健,主任医师，产科专科，对高危妊娠的管理有丰富经验。,obstetrics; Gynecology treatment
复旦大学附属妇产科医院,陈行,妇科,5.0,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,陈义松,妇科,5.0,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,丁景新,妇科,4.2,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,丁岩,妇科,3.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,方芳,妇科,3.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,胡卫国,妇科,3.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,华克勤,妇科,4.0,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,姜桦,妇科,3.9,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,姜伟,妇科,3.9,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,李斌,妇科,4.0,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,李大金,妇科,3.9,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,李桂玲,妇科,3.9,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,李勤,妇科,3.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,李儒芝,妇科,3.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,李昕,妇科,3.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,李雪莲,妇科,4.3,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,刘惜时,妇科,3.9,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,卢媛,妇科,4.2,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,鹿欣,妇科,4.0,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,罗雪珍,妇科,3.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,聂姬婵,妇科,4.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,邵珺,妇科,4.2,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,孙红,妇科,3.9,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,汪清,妇科,4.6,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,王超,妇科,4.1,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,王海燕,妇科,3.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,夏志军,妇科,3.9,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,谢康云,妇科,3.9,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,徐丛剑,妇科,3.9,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,薛晓红,妇科,3.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,易晓芳,妇科,3.9,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,袁蕾,妇科,3.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,张剑峰,妇科,3.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,张炜,妇科,4.1,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,赵洪波,妇科,3.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,朱静,妇科,3.9,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,朱晓勇,妇科,3.9,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,邹世恩,妇科,3.8,妇科良恶性肿瘤、妇科内分泌疾病、子宫内膜异位症、妇科炎症,主任医师，从事妇产科临床工作多年，在妇科肿瘤、妇科内分泌等方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,黄荷凤,妇科内分泌,3.8,月经失调、多囊卵巢综合征、更年期综合征,主任医师，妇科内分泌专科，在妇科内分泌疾病诊治方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,金莉萍,妇科内分泌,4.1,月经失调、多囊卵巢综合征、更年期综合征,主任医师，妇科内分泌专科，在妇科内分泌疾病诊治方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,史颖莉,妇科内分泌,4.7,月经失调、多囊卵巢综合征、更年期综合征,主任医师，妇科内分泌专科，在妇科内分泌疾病诊治方面有丰富经验。,Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,武欣,妇科肿瘤,5.0,宫颈癌、子宫内膜癌、卵巢癌,主任医师，妇科肿瘤专科，擅长妇科恶性肿瘤的诊治。,cancer treatment; Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,赵宇清,妇科肿瘤,3.8,宫颈癌、子宫内膜癌、卵巢癌,主任医师，妇科肿瘤专科，擅长妇科恶性肿瘤的诊治。,cancer treatment; Gynecology treatment; robotic surgery
复旦大学附属妇产科医院,黄绍强,麻醉科,3.6,临床麻醉、疼痛诊疗、危重症监测治疗,主任医师，麻醉科专科，从事临床麻醉工作多年。,routine health screening
复旦大学附属妇产科医院,孙建,乳腺外科,4.9,乳腺癌的早期诊断与综合治疗、乳腺良性疾病,主任医师，乳腺外科专科，在乳腺疾病诊治方面有丰富经验。,cancer treatment
复旦大学附属妇产科医院,陈国武,生殖,3.9,不孕症、辅助生殖技术、生殖内分泌,主任医师，生殖内分泌专科，在不孕症诊治方面有丰富经验。,IVF treatment
复旦大学附属妇产科医院,陆湘,生殖,3.9,不孕症、辅助生殖技术、生殖内分泌,主任医师，生殖内分泌专科，在不孕症诊治方面有丰富经验。,IVF treatment
复旦大学附属妇产科医院,骆菲,新生儿科,3.3,新生儿危重症救治、早产儿管理、新生儿窒息,主任医师，新生儿科专科，在新生儿危重症救治方面有丰富经验。,routine health screening
复旦大学附属妇产科医院,张国福,医学影像科,3.9,CT诊断、MRI诊断、X线诊断,主任医师，医学影像专科，在医学影像诊断方面有丰富经验。,radiology/ CT scans
复旦大学附属妇产科医院,归绥琪,中医妇产科,3.8,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。,obstetrics; Chinese medicine treatment; Gynecology treatment
复旦大学附属妇产科医院,王文君,中医妇产科,3.8,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。,obstetrics; Chinese medicine treatment; Gynecology treatment
复旦大学附属妇产科医院,张晓金,中医妇产科,3.8,月经病、不孕症、更年期综合征,主任医师，中医妇产科专科，擅长运用中医中药治疗妇产科疾病。,obstetrics; Chinese medicine treatment; Gynecology treatment
复旦大学附属华山医院,唐峰,病理科,3.5,临床病理诊断、术中冰冻诊断、疑难病例会诊,主任医师，病理科专科，在临床病理诊断方面有丰富经验。,routine health screening
复旦大学附属华山医院,丁红,超声科,3.4,腹部超声、心血管超声、妇产科超声,主任医师，超声科专科，在超声诊断方面有丰富经验。,radiology/ CT scans
复旦大学附属华山医院,赵霞,耳鼻喉,3.5,耳聋、耳鸣、眩晕、鼻炎、咽喉炎,主任医师，耳鼻喉科专科，在耳鼻喉疾病诊治方面有丰富经验。,routine health screening
复旦大学附属华山医院,陈旭,妇产科,3.4,高危妊娠、产前诊断与咨询、分娩期并发症处理、围产期保健,主任医师，产科专科，对高危妊娠的管理有丰富经验。,obstetrics; Gynecology treatment
复旦大学附属华山医院,殷保兵,肝胆外科,3.9,肝癌、胆道肿瘤、胆石症,主任医师，肝胆外科专科，在肝胆胰疾病诊治方面有丰富经验。,cancer treatment; robotic surgery
复旦大学附属华山医院,陈轶坚,感染内科,3.9,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。,routine health screening
复旦大学附属华山医院,高岩,感染内科,4.2,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。,routine health screening
复旦大学附属华山医院,黄玉仙,感染内科,4.1,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。,routine health screening
复旦大学附属华山医院,蒋卫民,感染内科,3.7,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。,routine health screening
复旦大学附属华山医院,金嘉琳,感染内科,4.0,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。,routine health screening
复旦大学附属华山医院,施光峰,感染内科,3.7,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。,routine health screening
复旦大学附属华山医院,王明贵,感染内科,3.7,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。,routine health screening
复旦大学附属华山医院,朱利平,感染内科,3.7,细菌感染、病毒感染、发热待查,主任医师，感染科专科，在感染性疾病诊治方面有丰富经验。,routine health screening
复旦大学附属华山医院,黄钢勇,骨关节科,3.8,骨关节科常见病、多发病诊治,主任医师，骨关节科专科，从事临床工作多年，具有丰富的临床经验。,orthopedics
复旦大学附属华山医院,王思群,骨关节科,3.8,骨关节科常见病、多发病诊治,主任医师，骨关节科专科，从事临床工作多年，具有丰富的临床经验。,orthopedics
